item,condition,list,position_in_list,sentence,shape_top_1,shape_bottom_1,colour1_top_1,colour2_top_1,colour1_bottom_1,colour2_bottom_1,n_colour1_top_1,n_colour2_top_1,n_colour1_bottom_1,n_colour2_bottom_1,first_picture_label,second_picture_label,position_mentioned_object,zero,color1,color2,color3,color4,picture_type_A,picture_type_B,subexp,subset,correct_card,shape_top_2,shape_bottom_2,colour1_top_2,colour2_top_2,colour1_bottom_2,colour2_bottom_2,n_colour1_top_2,n_colour2_top_2,n_colour1_bottom_2,n_colour2_bottom_2
31,1,4,161,Fewer than three of the triangles are grey.,heart,triangle,turquoise,grey,purple,green,0,4,2,2,31323,5,bottom,yes,turquoise,green,grey,purple,3,5,rainen,het,Second,better,,,,,,,,,
33,1,1,170,There are exactly three brown squares.,heart,square,orange,blue,grey,brown,0,4,1,3,33341,33342,top,yes,orange,blue,grey,brown,1,2,rainen,hom,First,heart,square,brown,orange,blue,grey,0,4,1,3
33,1,1,171,Fewer than three of the squares are grey.,heart,square,orange,grey,brown,blue,0,4,2,2,33343,5,bottom,yes,orange,blue,grey,brown,3,5,rainen,het,Second,better,,,,,,,,,
33,2,2,170,Exactly four hearts are orange.,heart,square,brown,orange,blue,grey,0,4,1,3,33342,33341,bottom,no,orange,blue,grey,brown,2,1,rainen,het,First,heart,square,orange,blue,grey,brown,0,4,1,3
33,2,2,171,Fewer than three of the hearts are brown.,heart,square,orange,grey,brown,blue,0,4,2,2,33343,5,top,no,orange,blue,grey,brown,3,5,rainen,hom,Second,better,,,,,,,,,
34,1,3,170,There is exactly one blue square.,heart,square,brown,orange,blue,grey,0,4,1,3,33342,33341,top,yes,orange,blue,grey,brown,2,1,rainen,hom,First,heart,square,orange,blue,grey,brown,0,4,1,3
34,1,3,171,Fewer than three of the squares are brown.,heart,square,blue,brown,grey,orange,2,2,4,0,33344,5,bottom,yes,orange,blue,grey,brown,4,5,rainen,hom,Second,better,,,,,,,,,
34,2,4,170,There are exactly four blue hearts and exactly one grey square.,heart,square,orange,blue,grey,brown,0,4,1,3,33341,33342,bottom,no,orange,blue,grey,brown,1,2,rainen,het,First,heart,square,brown,orange,blue,grey,0,4,1,3
34,2,4,171,Fewer than three of the hearts are grey.,heart,square,blue,brown,grey,orange,2,2,4,0,33344,5,top,no,orange,blue,grey,brown,4,5,rainen,het,Second,better,,,,,,,,,
36,2,1,180,Exactly one cross is purple.,heart,cross,orange,black,purple,blue,0,4,1,3,35361,35362,bottom,no,orange,black,purple,blue,1,2,rainen,het,First,heart,cross,blue,orange,black,purple,0,4,1,3
36,2,1,181,Fewer than three of the hearts are purple.,heart,cross,black,blue,purple,orange,2,2,4,0,35364,5,top,no,orange,black,purple,blue,4,5,rainen,het,Second,better,,,,,,,,,
35,1,2,180,There are exactly three blue crosses and exactly one purple cross.,heart,cross,orange,black,purple,blue,0,4,1,3,35361,35362,top,yes,orange,black,purple,blue,1,2,rainen,hom,First,heart,cross,blue,orange,black,purple,0,4,1,3
35,1,2,181,Fewer than three of the crosses are purple.,heart,cross,orange,purple,blue,black,0,4,2,2,35363,5,bottom,yes,orange,black,purple,blue,3,5,rainen,het,Second,better,,,,,,,,,
35,2,3,180,There are exactly four orange hearts.,heart,cross,blue,orange,black,purple,0,4,1,3,35362,35361,bottom,no,orange,black,purple,blue,2,1,rainen,het,First,heart,cross,orange,black,purple,blue,0,4,1,3
35,2,3,181,Fewer than three of the hearts are blue.,heart,cross,orange,purple,blue,black,0,4,2,2,35363,5,top,no,orange,black,purple,blue,3,5,rainen,hom,Second,better,,,,,,,,,
36,1,4,180,Exactly four hearts are orange.,heart,cross,blue,orange,black,purple,0,4,1,3,35362,35361,top,yes,orange,black,purple,blue,2,1,rainen,hom,First,heart,cross,orange,black,purple,blue,0,4,1,3
36,1,4,181,Fewer than three of the crosses are blue.,heart,cross,black,blue,purple,orange,2,2,4,0,35364,5,bottom,yes,orange,black,purple,blue,4,5,rainen,hom,Second,better,,,,,,,,,
38,1,1,190,There are exactly three pink triangles and exactly one green triangle.,square,triangle,yellow,brown,green,pink,0,4,1,3,37382,37381,top,yes,brown,green,pink,yellow,2,1,rainen,hom,First,square,triangle,brown,green,pink,yellow,0,4,1,3
38,1,1,191,Fewer than three of the triangles are yellow.,square,triangle,green,yellow,pink,brown,2,2,4,0,37384,5,bottom,yes,brown,green,pink,yellow,4,5,rainen,hom,Second,better,,,,,,,,,
38,2,2,190,Exactly one triangle is pink and exactly three triangles are yellow.,square,triangle,brown,green,pink,yellow,0,4,1,3,37381,37382,bottom,no,brown,green,pink,yellow,1,2,rainen,het,First,square,triangle,yellow,brown,green,pink,0,4,1,3
38,2,2,191,Fewer than three of the squares are pink.,square,triangle,green,yellow,pink,brown,2,2,4,0,37384,5,top,no,brown,green,pink,yellow,4,5,rainen,het,Second,better,,,,,,,,,
37,1,3,190,There are exactly three yellow triangles.,square,triangle,brown,green,pink,yellow,0,4,1,3,37381,37382,top,yes,brown,green,pink,yellow,1,2,rainen,hom,First,square,triangle,yellow,brown,green,pink,0,4,1,3
37,1,3,191,Fewer than three of the triangles are pink.,square,triangle,brown,pink,yellow,green,0,4,2,2,37383,5,bottom,yes,brown,green,pink,yellow,3,5,rainen,het,Second,better,,,,,,,,,
37,2,4,190,Exactly three triangles are pink and exactly four squares are brown.,square,triangle,yellow,brown,green,pink,0,4,1,3,37382,37381,bottom,no,brown,green,pink,yellow,2,1,rainen,het,First,square,triangle,brown,green,pink,yellow,0,4,1,3
37,2,4,191,Fewer than three of the squares are yellow.,square,triangle,brown,pink,yellow,green,0,4,2,2,37383,5,top,no,brown,green,pink,yellow,3,5,rainen,hom,Second,better,,,,,,,,,
39,2,1,200,There are exactly four green squares.,square,heart,turquoise,green,grey,purple,0,4,1,3,39402,39401,bottom,no,green,grey,purple,turquoise,2,1,rainen,het,First,square,heart,green,grey,purple,turquoise,0,4,1,3
39,2,1,201,Fewer than three of the squares are turquoise.,square,heart,green,purple,turquoise,grey,0,4,2,2,39403,5,top,no,green,grey,purple,turquoise,3,5,rainen,hom,Second,better,,,,,,,,,
40,1,2,200,There are exactly four green squares.,square,heart,turquoise,green,grey,purple,0,4,1,3,39402,39401,top,yes,green,grey,purple,turquoise,2,1,rainen,hom,First,square,heart,green,grey,purple,turquoise,0,4,1,3
40,1,2,201,Fewer than three of the hearts are turquoise.,square,heart,grey,turquoise,purple,green,2,2,4,0,39404,5,bottom,yes,green,grey,purple,turquoise,4,5,rainen,hom,Second,better,,,,,,,,,
40,2,3,200,Exactly three hearts are turquoise and exactly one heart is purple.,square,heart,green,grey,purple,turquoise,0,4,1,3,39401,39402,bottom,no,green,grey,purple,turquoise,1,2,rainen,het,First,square,heart,turquoise,green,grey,purple,0,4,1,3
40,2,3,201,Fewer than three of the squares are purple.,square,heart,grey,turquoise,purple,green,2,2,4,0,39404,5,top,no,green,grey,purple,turquoise,4,5,rainen,het,Second,better,,,,,,,,,
39,1,4,200,There are exactly three turquoise hearts and exactly one purple heart.,square,heart,green,grey,purple,turquoise,0,4,1,3,39401,39402,top,yes,green,grey,purple,turquoise,1,2,rainen,hom,First,square,heart,turquoise,green,grey,purple,0,4,1,3
39,1,4,201,Fewer than three of the hearts are purple.,square,heart,green,purple,turquoise,grey,0,4,2,2,39403,5,bottom,yes,green,grey,purple,turquoise,3,5,rainen,het,Second,better,,,,,,,,,
41,1,1,210,There are exactly three orange crosses.,square,cross,blue,grey,brown,orange,0,4,1,3,41421,41422,top,yes,blue,grey,brown,orange,1,2,rainen,hom,First,square,cross,orange,blue,grey,brown,0,4,1,3
41,1,1,211,Fewer than three of the crosses are brown.,square,cross,blue,brown,orange,grey,0,4,2,2,41423,5,bottom,yes,blue,grey,brown,orange,3,5,rainen,het,Second,better,,,,,,,,,
41,2,2,210,Exactly four squares are blue.,square,cross,orange,blue,grey,brown,0,4,1,3,41422,41421,bottom,no,blue,grey,brown,orange,2,1,rainen,het,First,square,cross,blue,grey,brown,orange,0,4,1,3
41,2,2,211,Fewer than three of the squares are orange.,square,cross,blue,brown,orange,grey,0,4,2,2,41423,5,top,no,blue,grey,brown,orange,3,5,rainen,hom,Second,better,,,,,,,,,
42,1,3,210,Exactly four squares are blue and exactly one cross is grey.,square,cross,orange,blue,grey,brown,0,4,1,3,41422,41421,top,yes,blue,grey,brown,orange,2,1,rainen,hom,First,square,cross,blue,grey,brown,orange,0,4,1,3
42,1,3,211,Fewer than three of the crosses are orange.,square,cross,grey,orange,brown,blue,2,2,4,0,41424,5,bottom,yes,blue,grey,brown,orange,4,5,rainen,hom,Second,better,,,,,,,,,
42,2,4,210,There are exactly three orange crosses.,square,cross,blue,grey,brown,orange,0,4,1,3,41421,41422,bottom,no,blue,grey,brown,orange,1,2,rainen,het,First,square,cross,orange,blue,grey,brown,0,4,1,3
42,2,4,211,Fewer than three of the squares are brown.,square,cross,grey,orange,brown,blue,2,2,4,0,41424,5,top,no,blue,grey,brown,orange,4,5,rainen,het,Second,better,,,,,,,,,
44,2,1,220,Exactly three triangles are orange and exactly one triangle is blue.,cross,triangle,black,purple,blue,orange,0,4,1,3,43441,43442,bottom,no,black,purple,blue,orange,1,2,rainen,het,First,cross,triangle,orange,black,purple,blue,0,4,1,3
44,2,1,221,Fewer than three of the crosses are blue.,cross,triangle,purple,orange,blue,black,2,2,4,0,43444,5,top,no,black,purple,blue,orange,4,5,rainen,het,Second,better,,,,,,,,,
43,1,2,220,There are exactly four purple crosses and exactly one blue triangle.,cross,triangle,black,purple,blue,orange,0,4,1,3,43441,43442,top,yes,black,purple,blue,orange,1,2,rainen,hom,First,cross,triangle,orange,black,purple,blue,0,4,1,3
43,1,2,221,Fewer than three of the triangles are blue.,cross,triangle,black,blue,orange,purple,0,4,2,2,43443,5,bottom,yes,black,purple,blue,orange,3,5,rainen,het,Second,better,,,,,,,,,
43,2,3,220,There are exactly three blue triangles.,cross,triangle,orange,black,purple,blue,0,4,1,3,43442,43441,bottom,no,black,purple,blue,orange,2,1,rainen,het,First,cross,triangle,black,purple,blue,orange,0,4,1,3
43,2,3,221,Fewer than three of the crosses are orange.,cross,triangle,black,blue,orange,purple,0,4,2,2,43443,5,top,no,black,purple,blue,orange,3,5,rainen,hom,Second,better,,,,,,,,,
44,1,4,220,There are exactly three blue triangles.,cross,triangle,orange,black,purple,blue,0,4,1,3,43442,43441,top,yes,black,purple,blue,orange,2,1,rainen,hom,First,cross,triangle,black,purple,blue,orange,0,4,1,3
44,1,4,221,Fewer than three of the triangles are orange.,cross,triangle,purple,orange,blue,black,2,2,4,0,43444,5,bottom,yes,black,purple,blue,orange,4,5,rainen,hom,Second,better,,,,,,,,,
46,1,1,230,Exactly one heart is pink and exactly three hearts are yellow.,cross,heart,brown,green,pink,yellow,0,4,1,3,45462,45461,top,yes,green,pink,yellow,brown,2,1,rainen,hom,First,cross,heart,green,pink,yellow,brown,0,4,1,3
46,1,1,231,Fewer than three of the hearts are brown.,cross,heart,pink,brown,yellow,green,2,2,4,0,45464,5,bottom,yes,green,pink,yellow,brown,4,5,rainen,hom,Second,better,,,,,,,,,
46,2,2,230,There are exactly four pink crosses and exactly three brown hearts.,cross,heart,green,pink,yellow,brown,0,4,1,3,45461,45462,bottom,no,green,pink,yellow,brown,1,2,rainen,het,First,cross,heart,brown,green,pink,yellow,0,4,1,3
46,2,2,231,Fewer than three of the crosses are yellow.,cross,heart,pink,brown,yellow,green,2,2,4,0,45464,5,top,no,green,pink,yellow,brown,4,5,rainen,het,Second,better,,,,,,,,,
45,1,3,230,Exactly four crosses are pink and exactly one heart is yellow.,cross,heart,green,pink,yellow,brown,0,4,1,3,45461,45462,top,yes,green,pink,yellow,brown,1,2,rainen,hom,First,cross,heart,brown,green,pink,yellow,0,4,1,3
45,1,3,231,Fewer than three of the hearts are yellow.,cross,heart,green,yellow,brown,pink,0,4,2,2,45463,5,bottom,yes,green,pink,yellow,brown,3,5,rainen,het,Second,better,,,,,,,,,
45,2,4,230,Exactly one heart is pink and exactly four crosses are green.,cross,heart,brown,green,pink,yellow,0,4,1,3,45462,45461,bottom,no,green,pink,yellow,brown,2,1,rainen,het,First,cross,heart,green,pink,yellow,brown,0,4,1,3
45,2,4,231,Fewer than three of the crosses are brown.,cross,heart,green,yellow,brown,pink,0,4,2,2,45463,5,top,no,green,pink,yellow,brown,3,5,rainen,hom,Second,better,,,,,,,,,
47,2,1,240,There is exactly one purple square and exactly four grey crosses.,cross,square,green,grey,purple,turquoise,0,4,1,3,47482,47481,bottom,no,grey,purple,turquoise,green,2,1,rainen,het,First,cross,square,grey,purple,turquoise,green,0,4,1,3
47,2,1,241,Fewer than three of the crosses are green.,cross,square,grey,turquoise,green,purple,0,4,2,2,47483,5,top,no,grey,purple,turquoise,green,3,5,rainen,hom,Second,better,,,,,,,,,
48,1,2,240,Exactly one square is purple.,cross,square,green,grey,purple,turquoise,0,4,1,3,47482,47481,top,yes,grey,purple,turquoise,green,2,1,rainen,hom,First,cross,square,grey,purple,turquoise,green,0,4,1,3
48,1,2,241,Fewer than three of the squares are green.,cross,square,purple,green,turquoise,grey,2,2,4,0,47484,5,bottom,yes,grey,purple,turquoise,green,4,5,rainen,hom,Second,better,,,,,,,,,
48,2,3,240,There are exactly four purple crosses.,cross,square,grey,purple,turquoise,green,0,4,1,3,47481,47482,bottom,no,grey,purple,turquoise,green,1,2,rainen,het,First,cross,square,green,grey,purple,turquoise,0,4,1,3
48,2,3,241,Fewer than three of the crosses are turquoise.,cross,square,purple,green,turquoise,grey,2,2,4,0,47484,5,top,no,grey,purple,turquoise,green,4,5,rainen,het,Second,better,,,,,,,,,
47,1,4,240,Exactly four crosses are purple.,cross,square,grey,purple,turquoise,green,0,4,1,3,47481,47482,top,yes,grey,purple,turquoise,green,1,2,rainen,hom,First,cross,square,green,grey,purple,turquoise,0,4,1,3
47,1,4,241,Fewer than three of the squares are turquoise.,cross,square,grey,turquoise,green,purple,0,4,2,2,47483,5,bottom,yes,grey,purple,turquoise,green,3,5,rainen,het,Second,better,,,,,,,,,
49,1,1,250,Exactly four triangles are brown.,triangle,heart,grey,brown,orange,blue,0,4,1,3,49501,49502,top,yes,grey,brown,orange,blue,1,2,rainen,hom,First,triangle,heart,blue,grey,brown,orange,0,4,1,3
49,1,1,251,Fewer than three of the hearts are orange.,triangle,heart,grey,orange,blue,brown,0,4,2,2,49503,5,bottom,yes,grey,brown,orange,blue,3,5,rainen,het,Second,better,,,,,,,,,
49,2,2,250,Exactly one heart is brown.,triangle,heart,blue,grey,brown,orange,0,4,1,3,49502,49501,bottom,no,grey,brown,orange,blue,2,1,rainen,het,First,triangle,heart,grey,brown,orange,blue,0,4,1,3
49,2,2,251,Fewer than three of the triangles are blue.,triangle,heart,grey,orange,blue,brown,0,4,2,2,49503,5,top,no,grey,brown,orange,blue,3,5,rainen,hom,Second,better,,,,,,,,,
50,1,3,250,There are exactly three orange hearts and exactly one brown heart.,triangle,heart,blue,grey,brown,orange,0,4,1,3,49502,49501,top,yes,grey,brown,orange,blue,2,1,rainen,hom,First,triangle,heart,grey,brown,orange,blue,0,4,1,3
50,1,3,251,Fewer than three of the hearts are blue.,triangle,heart,brown,blue,orange,grey,2,2,4,0,49504,5,bottom,yes,grey,brown,orange,blue,4,5,rainen,hom,Second,better,,,,,,,,,
50,2,4,250,There is exactly one orange heart and exactly three blue hearts.,triangle,heart,grey,brown,orange,blue,0,4,1,3,49501,49502,bottom,no,grey,brown,orange,blue,1,2,rainen,het,First,triangle,heart,blue,grey,brown,orange,0,4,1,3
50,2,4,251,Fewer than three of the triangles are orange.,triangle,heart,brown,blue,orange,grey,2,2,4,0,49504,5,top,no,grey,brown,orange,blue,4,5,rainen,het,Second,better,,,,,,,,,
52,2,1,260,There are exactly four blue triangles.,triangle,square,purple,blue,orange,black,0,4,1,3,51521,51522,bottom,no,purple,blue,orange,black,1,2,rainen,het,First,triangle,square,black,purple,blue,orange,0,4,1,3
52,2,1,261,Fewer than three of the triangles are orange.,triangle,square,blue,black,orange,purple,2,2,4,0,51524,5,top,no,purple,blue,orange,black,4,5,rainen,het,Second,better,,,,,,,,,
51,1,2,260,There are exactly three black squares.,triangle,square,purple,blue,orange,black,0,4,1,3,51521,51522,top,yes,purple,blue,orange,black,1,2,rainen,hom,First,triangle,square,black,purple,blue,orange,0,4,1,3
51,1,2,261,Fewer than three of the squares are orange.,triangle,square,purple,orange,black,blue,0,4,2,2,51523,5,bottom,yes,purple,blue,orange,black,3,5,rainen,het,Second,better,,,,,,,,,
51,2,3,260,There are exactly four purple triangles and exactly one blue square.,triangle,square,black,purple,blue,orange,0,4,1,3,51522,51521,bottom,no,purple,blue,orange,black,2,1,rainen,het,First,triangle,square,purple,blue,orange,black,0,4,1,3
51,2,3,261,Fewer than three of the triangles are black.,triangle,square,purple,orange,black,blue,0,4,2,2,51523,5,top,no,purple,blue,orange,black,3,5,rainen,hom,Second,better,,,,,,,,,
52,1,4,260,There is exactly one blue square.,triangle,square,black,purple,blue,orange,0,4,1,3,51522,51521,top,yes,purple,blue,orange,black,2,1,rainen,hom,First,triangle,square,purple,blue,orange,black,0,4,1,3
52,1,4,261,Fewer than three of the squares are black.,triangle,square,blue,black,orange,purple,2,2,4,0,51524,5,bottom,yes,purple,blue,orange,black,4,5,rainen,hom,Second,better,,,,,,,,,
54,1,1,270,There are exactly three brown crosses and exactly four pink triangles.,triangle,cross,green,pink,yellow,brown,0,4,1,3,53542,53541,top,yes,pink,yellow,brown,green,2,1,rainen,hom,First,triangle,cross,pink,yellow,brown,green,0,4,1,3
54,1,1,271,Fewer than three of the crosses are green.,triangle,cross,yellow,green,brown,pink,2,2,4,0,53544,5,bottom,yes,pink,yellow,brown,green,4,5,rainen,hom,Second,better,,,,,,,,,
54,2,2,270,Exactly one cross is brown.,triangle,cross,pink,yellow,brown,green,0,4,1,3,53541,53542,bottom,no,pink,yellow,brown,green,1,2,rainen,het,First,triangle,cross,green,pink,yellow,brown,0,4,1,3
54,2,2,271,Fewer than three of the triangles are brown.,triangle,cross,yellow,green,brown,pink,2,2,4,0,53544,5,top,no,pink,yellow,brown,green,4,5,rainen,het,Second,better,,,,,,,,,
53,1,3,270,There are exactly four yellow triangles and exactly one brown cross.,triangle,cross,pink,yellow,brown,green,0,4,1,3,53541,53542,top,yes,pink,yellow,brown,green,1,2,rainen,hom,First,triangle,cross,green,pink,yellow,brown,0,4,1,3
53,1,3,271,Fewer than three of the crosses are brown.,triangle,cross,pink,brown,green,yellow,0,4,2,2,53543,5,bottom,yes,pink,yellow,brown,green,3,5,rainen,het,Second,better,,,,,,,,,
53,2,4,270,Exactly four triangles are pink and exactly one cross is yellow.,triangle,cross,green,pink,yellow,brown,0,4,1,3,53542,53541,bottom,no,pink,yellow,brown,green,2,1,rainen,het,First,triangle,cross,pink,yellow,brown,green,0,4,1,3
53,2,4,271,Fewer than three of the triangles are green.,triangle,cross,pink,brown,green,yellow,0,4,2,2,53543,5,top,no,pink,yellow,brown,green,3,5,rainen,hom,Second,better,,,,,,,,,
55,2,1,280,Exactly four hearts are purple and exactly one triangle is turquoise.,heart,triangle,grey,purple,turquoise,green,0,4,1,3,55562,55561,bottom,no,purple,turquoise,green,grey,2,1,rainen,het,First,heart,triangle,purple,turquoise,green,grey,0,4,1,3
55,2,1,281,Fewer than three of the hearts are grey.,heart,triangle,purple,green,grey,turquoise,0,4,2,2,55563,5,top,no,purple,turquoise,green,grey,3,5,rainen,hom,Second,better,,,,,,,,,
56,1,2,280,There are exactly four purple hearts and exactly one turquoise triangle.,heart,triangle,grey,purple,turquoise,green,0,4,1,3,55562,55561,top,yes,purple,turquoise,green,grey,2,1,rainen,hom,First,heart,triangle,purple,turquoise,green,grey,0,4,1,3
56,1,2,281,Fewer than three of the triangles are grey.,heart,triangle,turquoise,grey,green,purple,2,2,4,0,55564,5,bottom,yes,purple,turquoise,green,grey,4,5,rainen,hom,Second,better,,,,,,,,,
56,2,3,280,There are exactly four turquoise hearts.,heart,triangle,purple,turquoise,green,grey,0,4,1,3,55561,55562,bottom,no,purple,turquoise,green,grey,1,2,rainen,het,First,heart,triangle,grey,purple,turquoise,green,0,4,1,3
56,2,3,281,Fewer than three of the hearts are green.,heart,triangle,turquoise,grey,green,purple,2,2,4,0,55564,5,top,no,purple,turquoise,green,grey,4,5,rainen,het,Second,better,,,,,,,,,
55,1,4,280,Exactly four hearts are turquoise and exactly one triangle is green.,heart,triangle,purple,turquoise,green,grey,0,4,1,3,55561,55562,top,yes,purple,turquoise,green,grey,1,2,rainen,hom,First,heart,triangle,grey,purple,turquoise,green,0,4,1,3
55,1,4,281,Fewer than three of the triangles are green.,heart,triangle,purple,green,grey,turquoise,0,4,2,2,55563,5,bottom,yes,purple,turquoise,green,grey,3,5,rainen,het,Second,better,,,,,,,,,
57,1,1,290,Exactly three squares are grey.,heart,square,brown,orange,blue,grey,0,4,1,3,57581,57582,top,yes,brown,orange,blue,grey,1,2,rainen,hom,First,heart,square,grey,brown,orange,blue,0,4,1,3
57,1,1,291,Fewer than three of the squares are blue.,heart,square,brown,blue,grey,orange,0,4,2,2,57583,5,bottom,yes,brown,orange,blue,grey,3,5,rainen,het,Second,better,,,,,,,,,
57,2,2,290,There are exactly four brown hearts.,heart,square,grey,brown,orange,blue,0,4,1,3,57582,57581,bottom,no,brown,orange,blue,grey,2,1,rainen,het,First,heart,square,brown,orange,blue,grey,0,4,1,3
57,2,2,291,Fewer than three of the hearts are grey.,heart,square,brown,blue,grey,orange,0,4,2,2,57583,5,top,no,brown,orange,blue,grey,3,5,rainen,hom,Second,better,,,,,,,,,
58,1,3,290,There is exactly one orange square and exactly four brown hearts.,heart,square,grey,brown,orange,blue,0,4,1,3,57582,57581,top,yes,brown,orange,blue,grey,2,1,rainen,hom,First,heart,square,brown,orange,blue,grey,0,4,1,3
58,1,3,291,Fewer than three of the squares are grey.,heart,square,orange,grey,blue,brown,2,2,4,0,57584,5,bottom,yes,brown,orange,blue,grey,4,5,rainen,hom,Second,better,,,,,,,,,
58,2,4,290,There are exactly three grey squares.,heart,square,brown,orange,blue,grey,0,4,1,3,57581,57582,bottom,no,brown,orange,blue,grey,1,2,rainen,het,First,heart,square,grey,brown,orange,blue,0,4,1,3
58,2,4,291,Fewer than three of the hearts are blue.,heart,square,orange,grey,blue,brown,2,2,4,0,57584,5,top,no,brown,orange,blue,grey,4,5,rainen,het,Second,better,,,,,,,,,
60,2,1,300,There are exactly three purple crosses.,heart,cross,blue,orange,black,purple,0,4,1,3,59601,59602,bottom,no,blue,orange,black,purple,1,2,rainen,het,First,heart,cross,purple,blue,orange,black,0,4,1,3
60,2,1,301,Fewer than three of the hearts are black.,heart,cross,orange,purple,black,blue,2,2,4,0,59604,5,top,no,blue,orange,black,purple,4,5,rainen,het,Second,better,,,,,,,,,
59,1,2,300,Exactly one cross is black and exactly four hearts are orange.,heart,cross,blue,orange,black,purple,0,4,1,3,59601,59602,top,yes,blue,orange,black,purple,1,2,rainen,hom,First,heart,cross,purple,blue,orange,black,0,4,1,3
59,1,2,301,Fewer than three of the crosses are black.,heart,cross,blue,black,purple,orange,0,4,2,2,59603,5,bottom,yes,blue,orange,black,purple,3,5,rainen,het,Second,better,,,,,,,,,
59,2,3,300,Exactly three crosses are black.,heart,cross,purple,blue,orange,black,0,4,1,3,59602,59601,bottom,no,blue,orange,black,purple,2,1,rainen,het,First,heart,cross,blue,orange,black,purple,0,4,1,3
59,2,3,301,Fewer than three of the hearts are purple.,heart,cross,blue,black,purple,orange,0,4,2,2,59603,5,top,no,blue,orange,black,purple,3,5,rainen,hom,Second,better,,,,,,,,,
60,1,4,300,There is exactly one orange cross.,heart,cross,purple,blue,orange,black,0,4,1,3,59602,59601,top,yes,blue,orange,black,purple,2,1,rainen,hom,First,heart,cross,blue,orange,black,purple,0,4,1,3
60,1,4,301,Fewer than three of the crosses are purple.,heart,cross,orange,purple,black,blue,2,2,4,0,59604,5,bottom,yes,blue,orange,black,purple,4,5,rainen,hom,Second,better,,,,,,,,,
62,1,1,310,There are exactly four yellow squares and exactly one brown triangle.,square,triangle,pink,yellow,brown,green,0,4,1,3,61622,61621,top,yes,yellow,brown,green,pink,2,1,rainen,hom,First,square,triangle,yellow,brown,green,pink,0,4,1,3
62,1,1,311,Fewer than three of the triangles are pink.,square,triangle,brown,pink,green,yellow,2,2,4,0,61624,5,bottom,yes,yellow,brown,green,pink,4,5,rainen,hom,Second,better,,,,,,,,,
62,2,2,310,There is exactly one green triangle.,square,triangle,yellow,brown,green,pink,0,4,1,3,61621,61622,bottom,no,yellow,brown,green,pink,1,2,rainen,het,First,square,triangle,pink,yellow,brown,green,0,4,1,3
62,2,2,311,Fewer than three of the squares are green.,square,triangle,brown,pink,green,yellow,2,2,4,0,61624,5,top,no,yellow,brown,green,pink,4,5,rainen,het,Second,better,,,,,,,,,
61,1,3,310,Exactly four squares are brown and exactly three triangles are pink.,square,triangle,yellow,brown,green,pink,0,4,1,3,61621,61622,top,yes,yellow,brown,green,pink,1,2,rainen,hom,First,square,triangle,pink,yellow,brown,green,0,4,1,3
61,1,3,311,Fewer than three of the triangles are green.,square,triangle,yellow,green,pink,brown,0,4,2,2,61623,5,bottom,yes,yellow,brown,green,pink,3,5,rainen,het,Second,better,,,,,,,,,
61,2,4,310,Exactly four squares are yellow and exactly three triangles are green.,square,triangle,pink,yellow,brown,green,0,4,1,3,61622,61621,bottom,no,yellow,brown,green,pink,2,1,rainen,het,First,square,triangle,yellow,brown,green,pink,0,4,1,3
61,2,4,311,Fewer than three of the squares are pink.,square,triangle,yellow,green,pink,brown,0,4,2,2,61623,5,top,no,yellow,brown,green,pink,3,5,rainen,hom,Second,better,,,,,,,,,
63,2,1,320,Exactly three hearts are grey and exactly one heart is green.,square,heart,purple,turquoise,green,grey,0,4,1,3,63642,63641,bottom,no,turquoise,green,grey,purple,2,1,rainen,het,First,square,heart,turquoise,green,grey,purple,0,4,1,3
63,2,1,321,Fewer than three of the squares are purple.,square,heart,turquoise,grey,purple,green,0,4,2,2,63643,5,top,no,turquoise,green,grey,purple,3,5,rainen,hom,Second,better,,,,,,,,,
64,1,2,320,There is exactly one green heart.,square,heart,purple,turquoise,green,grey,0,4,1,3,63642,63641,top,yes,turquoise,green,grey,purple,2,1,rainen,hom,First,square,heart,turquoise,green,grey,purple,0,4,1,3
64,1,2,321,Fewer than three of the hearts are purple.,square,heart,green,purple,grey,turquoise,2,2,4,0,63644,5,bottom,yes,turquoise,green,grey,purple,4,5,rainen,hom,Second,better,,,,,,,,,
64,2,3,320,Exactly three hearts are purple and exactly four squares are green.,square,heart,turquoise,green,grey,purple,0,4,1,3,63641,63642,bottom,no,turquoise,green,grey,purple,1,2,rainen,het,First,square,heart,purple,turquoise,green,grey,0,4,1,3
64,2,3,321,Fewer than three of the squares are grey.,square,heart,turquoise,turquoise,turquoise,turquoise,2,2,4,0,63644,5,top,no,turquoise,turquoise,turquoise,turquoise,4,5,rainen,het,Second,better,,,,,,,,,
63,1,4,320,There is exactly one grey heart.,square,heart,turquoise,green,grey,purple,0,4,1,3,63641,63642,top,yes,turquoise,green,grey,purple,1,2,rainen,hom,First,square,heart,purple,turquoise,green,grey,0,4,1,3
63,1,4,321,Fewer than three of the hearts are grey.,square,heart,turquoise,grey,purple,green,0,4,2,2,63643,5,bottom,yes,turquoise,green,grey,purple,3,5,rainen,het,Second,better,,,,,,,,,
65,1,1,330,There are exactly four blue squares and exactly three brown crosses.,square,cross,orange,blue,grey,brown,0,4,1,3,65661,65662,top,yes,orange,blue,grey,brown,1,2,rainen,hom,First,square,cross,brown,orange,blue,grey,0,4,1,3
